"t,B"
"0,192.7810353"
"0.08,192.7785023"
"0.12,192.7806341"
"0.2,192.781183"
"0.28,192.7813153"
"0.32,192.7772788"
"0.4,192.7784119"
"0.48,192.7784119"
"0.52,192.7784119"
"0.6,192.7773405"
"0.68,192.7781871"
"0.72,192.7781871"
"0.8,192.7598101"
"0.88,192.7772171"
"0.92,192.7772171"
"1,192.78"
"1.08,192.8268079"
"1.12,192.8225223"
"1.2,192.7885462"
"1.24,192.7965949"
"1.32,192.7963833"
"1.4,192.7962422"
"1.44,192.7968065"
"1.52,192.7911762"
"1.6,192.7920756"
"1.64,192.7927811"
"1.72,192.7927811"
"1.76,192.7933454"
"1.84,192.7906647"
"1.92,192.7920756"
"1.96,192.7920756"
"2.04,192.7920756"
"2.12,192.7923578"
"2.16,192.7314533"
"2.24,189.4464873"
"2.32,182.8707927"
"2.36,173.8293123"
"2.44,163.4328082"
"2.52,156.5067282"
"2.56,153.3373522"
"2.64,150.951216"
"2.72,150.2219121"
"2.76,150.1884849"
"2.84,152.656096"
"2.92,163.4582837"
"2.96,175.2415611"
"3.08,184.9148634"
"3.12,191.1997368"
"3.2,192.7931492"
"3.28,192.7932131"
"3.32,192.7892935"
"3.4,192.7919389"
"3.48,192.7885969"
"3.52,192.7914539"
"3.6,192.7914539"
"3.68,192.7914539"
"3.72,192.7741175"
"3.8,192.7843289"
"3.88,192.7848558"
"3.92,192.7851027"
"4,192.77"
"4.04,192.7841151"
"4.12,192.7841151"
"4.2,192.7841151"
"4.28,192.7841151"
"4.32,192.7841151"
"4.4,192.7826182"
"4.48,192.7831825"
"4.56,192.7831825"
"4.6,192.7819833"
"4.68,192.7826072"
"4.76,192.7819723"
"4.8,192.7826072"
"4.88,192.7826072"
"4.96,192.780191"
"5,192.78"
"5.08,192.7824264"
"5.16,192.7827064"
"5.2,192.7831803"
"5.28,192.7829863"
"5.36,192.782746"
"5.4,192.7828915"
"5.48,192.7828915"
"5.56,192.7828915"
"5.6,192.7828915"
"5.68,192.7828915"
"5.76,192.7828915"
"5.8,192.7828915"
"5.88,192.7828915"
"5.96,192.7828915"
"6.04,192.7828915"
"6.12,192.7828915"
"6.2,192.7828915"
"6.28,192.7828915"
"6.36,192.7828915"
"6.4,192.7828915"
"6.48,192.7828915"
"6.52,192.7828915"
"6.64,192.7828915"
"6.68,192.7829621"
"6.76,192.7815225"
"6.84,192.7823294"
"6.88,192.7827108"
"6.96,192.7828475"
"7.04,192.7828475"
"7.08,192.7822126"
"7.16,192.7822831"
"7.24,192.7828475"
"7.28,192.7828475"
"7.36,192.7822831"
"7.44,192.7828475"
"7.48,192.7828475"
"7.56,192.7828475"
"7.64,192.7828475"
"7.68,192.7812955"
"7.76,192.7828475"
"7.84,192.7715978"
"7.88,192.7893773"
"7.96,192.7870008"
"8.04,192.7877106"
"8.08,192.7826314"
"8.16,192.7829136"
"8.24,192.7829136"
"8.32,192.7829136"
"8.36,192.7829136"
"8.44,192.7829136"
"8.48,192.7810794"
"8.56,192.7789631"
"8.64,192.780374"
"8.68,192.780374"
"8.76,192.780374"
"8.84,192.5434226"
"8.92,185.6824819"
"8.96,181.8796174"
"9.04,172.5922176"
"9.08,162.2061057"
"9.16,156.071797"
"9.24,152.9735787"
"9.28,150.7282942"
"9.36,149.7851776"
"9.44,150.3246387"
"9.48,153.6420553"
"9.56,164.9289503"
"9.64,176.5580695"
"9.72,189.2911012"
"9.76,192.7978206"
"9.84,192.7981777"
"9.92,192.7986054"
"9.96,192.7970358"
"10.04,192.7985878"
"10.12,192.7863174"
"10.2,192.7899328"
"10.24,192.7911806"
"10.32,192.7911806"
"10.4,192.7894875"
"10.44,192.7894875"
"10.52,192.7894875"
"10.6,192.7879355"
"10.68,192.7879355"
"10.72,192.7894875"
"10.8,192.7894875"
"10.88,192.7894875"
"10.92,192.7894875"
"11,192.79"
"11.08,192.7894875"
"11.12,192.788641"
"11.2,192.7870184"
"11.24,192.7873006"
"11.32,192.7873006"
"11.4,192.7870184"
"11.44,192.7861719"
"11.52,192.7864541"
"11.6,192.7869523"
"11.64,192.7863196"
"11.72,192.7865819"
"11.8,192.7872874"
"11.88,192.7874439"
"11.92,192.78751"
"12,192.79"
"12.04,192.7877481"
"12.12,192.7877481"
"12.2,192.7877481"
"12.28,192.7877481"
"12.32,192.7877481"
"12.4,192.7877481"
"12.48,192.7877481"
"12.52,192.7877481"
"12.6,192.7877481"
"12.64,192.7877481"
"12.72,192.7877481"
"12.8,192.7877481"
"12.88,192.7877481"
"12.92,192.7877481"
"13,192.79"
"13.04,192.7877481"
"13.12,192.7877481"
"13.2,192.7877481"
"13.24,192.7878473"
"13.32,192.7875277"
"13.4,192.7847985"
"13.44,192.7844039"
"13.52,192.7849991"
"13.6,192.785041"
"13.64,192.785041"
"13.72,192.7844369"
"13.8,192.7847191"
"13.84,192.7847191"
"13.92,192.7847191"
"14,192.78"
"14.04,192.7847191"
"14.12,192.7846948"
"14.2,192.7847191"
"14.24,192.7847191"
"14.32,192.7742873"
"14.4,192.7838483"
"14.44,192.7811125"
"14.52,192.8267109"
"14.6,192.8202737"
"14.64,192.8197468"
"14.72,192.8197094"
"14.8,192.8197094"
"14.88,192.8173814"
"14.96,192.8113145"
"15,192.81"
"15.08,192.8102387"
"15.16,192.8092158"
"15.2,192.8102034"
"15.28,192.8102034"
"15.36,192.8102034"
"15.4,192.3231021"
"15.48,188.1400845"
"15.56,180.8942378"
"15.6,171.3828933"
"15.68,161.0427304"
"15.76,155.6948758"
"15.8,152.6973294"
"15.88,150.5822002"
"15.96,150.0122241"
"16,150.52"
"16.08,154.8171102"
"16.16,166.4224293"
"16.2,177.8694501"
"16.28,186.8260959"
"16.32,192.1224483"
"16.4,192.8315697"
"16.48,192.8308863"
"16.52,192.8285936"
"16.6,192.8309921"
"16.68,192.8309921"
"16.76,192.8309921"
"16.84,192.8309921"
"16.88,192.8309921"
"16.96,192.8252692"
"17.04,192.8242639"
"17.08,192.8161336"
"17.16,192.8191141"
"17.24,192.8191141"
"17.28,192.8191141"
"17.36,192.8191141"
"17.44,192.8191141"
"17.48,192.8191141"
"17.56,192.8191141"
"17.64,192.8186071"
"17.68,192.7867252"
"17.76,192.7888394"
"17.84,192.7920668"
"17.88,192.7920668"
"17.96,192.7812999"
"18.04,192.7920668"
"18.08,192.7920668"
"18.16,192.7920668"
"18.24,192.7917008"
"18.28,192.7913481"
"18.36,192.7920051"
"18.44,192.7919433"
"18.48,192.7926907"
"18.56,192.7915928"
"18.64,192.7915928"
"18.68,192.7915928"
